network,mode,transferGas,mintGas,ownershipGas,totalSupplyBefore,totalSupplyAfter,supplyChange,timestamp
localhost,FULL,51598,53572,28656,100.0,100.01,0.010000000000005116,2025-10-08T17:01:59.468Z
sepolia,SAFE,51598,DISABLED,DISABLED,100.01,100.01,0.0,2025-10-08T17:02:53.381Z
