Method,Optimizer ON,Optimizer OFF,% Difference
MyToken,669512,1172858,-42.916192753086904
approve,46371,46952,-1.2374339751235304
deploy,669512,1172858,-42.916192753086904
mint,53608,54234,-1.1542574768595346
transfer,51598,52188,-1.130528090748831
transferFrom,52853,53652,-1.4892268694550064
transferOwnership,28656,29064,-1.4037985136251032
